mode=full seed=0 output_dir=runs/baseline-20260718T074451Z/full-seed-0
Running pytorch 2.11.0+cu128
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: m-obukhov (m-obukhov-home) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mpe2znwl
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/NoCap-Test/wandb/run-20260718_140711-mpe2znwl
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run full-seed-0
wandb: ⭐️ View project at https://wandb.ai/m-obukhov-home/nocap-baseline
wandb: 🚀 View run at https://wandb.ai/m-obukhov-home/nocap-baseline/runs/mpe2znwl
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
using device: cuda:0 (NVIDIA GeForce RTX 4090)
run: full-seed-0 | seed: 0 | output: runs/baseline-20260718T074451Z/full-seed-0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:136/4768 | loss 5.837942 | lr:0.00095625 | train_time:601.15s | step:4152.61ms
step:137/4768 | loss 5.887870 | lr:0.000963281 | train_time:605.31s | step:4160.94ms
step:138/4768 | loss 5.905855 | lr:0.000970312 | train_time:609.47s | step:4163.33ms
step:139/4768 | loss 5.863269 | lr:0.000977344 | train_time:613.62s | step:4150.11ms
step:140/4768 | loss 5.905834 | lr:0.000984375 | train_time:617.77s | step:4150.46ms
step:141/4768 | loss 5.859395 | lr:0.000991406 | train_time:621.93s | step:4162.88ms
step:142/4768 | loss 5.969456 | lr:0.000998437 | train_time:626.10s | step:4164.57ms
step:143/4768 | loss 5.926576 | lr:0.00100547 | train_time:630.26s | step:4157.65ms
step:144/4768 | loss 5.905106 | lr:0.0010125 | train_time:634.40s | step:4149.21ms
step:145/4768 | loss 5.873332 | lr:0.00101953 | train_time:638.57s | step:4160.70ms
step:146/4768 | loss 5.798723 | lr:0.00102656 | train_time:642.73s | step:4162.48ms
step:147/4768 | loss 5.806015 | lr:0.00103359 | train_time:646.88s | step:4151.78ms
step:148/4768 | loss 5.853857 | lr:0.00104062 | train_time:651.04s | step:4160.10ms
step:149/4768 | loss 5.857861 | lr:0.00104766 | train_time:655.19s | step:4153.37ms
step:150/4768 | loss 5.808628 | lr:0.00105469 | train_time:659.36s | step:4165.94ms
step:151/4768 | loss 5.794386 | lr:0.00106172 | train_time:663.51s | step:4148.16ms
step:152/4768 | loss 5.712189 | lr:0.00106875 | train_time:667.66s | step:4156.29ms
step:153/4768 | loss 5.751458 | lr:0.00107578 | train_time:671.83s | step:4169.23ms
step:154/4768 | loss 5.739239 | lr:0.00108281 | train_time:676.00s | step:4163.40ms
step:155/4768 | loss 5.821238 | lr:0.00108984 | train_time:680.16s | step:4159.05ms
step:156/4768 | loss 5.808238 | lr:0.00109687 | train_time:684.33s | step:4178.96ms
step:157/4768 | loss 5.823480 | lr:0.00110391 | train_time:688.49s | step:4160.39ms
step:158/4768 | loss 5.733623 | lr:0.00111094 | train_time:692.65s | step:4153.50ms
step:159/4768 | loss 5.735773 | lr:0.00111797 | train_time:696.81s | step:4163.12ms
step:160/4768 | loss 5.766275 | lr:0.001125 | train_time:700.98s | step:4165.40ms
step:161/4768 | loss 5.753952 | lr:0.00113203 | train_time:705.14s | step:4162.12ms
step:162/4768 | loss 5.786473 | lr:0.00113906 | train_time:709.29s | step:4151.99ms
step:163/4768 | loss 5.775220 | lr:0.00114609 | train_time:713.46s | step:4170.60ms
step:164/4768 | loss 5.782301 | lr:0.00115313 | train_time:717.62s | step:4154.95ms
step:165/4768 | loss 5.746817 | lr:0.00116016 | train_time:721.78s | step:4167.34ms
step:166/4768 | loss 5.799743 | lr:0.00116719 | train_time:725.96s | step:4178.30ms
step:167/4768 | loss 5.758569 | lr:0.00117422 | train_time:730.13s | step:4171.29ms
step:168/4768 | loss 5.733368 | lr:0.00118125 | train_time:734.30s | step:4168.45ms
step:169/4768 | loss 5.695107 | lr:0.00118828 | train_time:738.47s | step:4169.04ms
step:170/4768 | loss 5.647458 | lr:0.00119531 | train_time:742.63s | step:4155.49ms
step:171/4768 | loss 5.612438 | lr:0.00120234 | train_time:746.79s | step:4159.69ms
step:172/4768 | loss 5.723855 | lr:0.00120937 | train_time:750.95s | step:4162.20ms
step:173/4768 | loss 5.632682 | lr:0.00121641 | train_time:755.10s | step:4154.26ms
step:174/4768 | loss 5.692252 | lr:0.00122344 | train_time:759.28s | step:4175.41ms
step:175/4768 | loss 5.675940 | lr:0.00123047 | train_time:763.44s | step:4161.01ms
step:176/4768 | loss 5.640271 | lr:0.0012375 | train_time:767.61s | step:4170.71ms
